ticker,date,score_100,score_equal,score_risk2x,score_risk4x,score_risk_only,20거래일(약1개월),60거래일(약3개월),120거래일(약6개월)
035720.KS,2024-12-13,68.4,72.7,69.0,63.7,41.9,-19.389978213507632,-5.664488017429193,20.261437908496728
035720.KS,2025-01-15,12.2,24.3,28.0,33.2,54.6,5.270270270270272,2.027027027027017,51.62162162162163
035720.KS,2025-02-18,15.2,26.9,28.3,30.3,38.4,11.168164313222071,-6.418485237483951,63.02952503209242
035720.KS,2025-03-19,41.4,49.5,49.0,48.3,45.5,-12.8175519630485,27.48267898383372,38.33718244803694
035720.KS,2025-04-16,4.4,17.6,20.4,24.2,40.2,-3.443708609271523,48.6092715231788,53.64238410596028
035720.KS,2025-05-19,4.4,17.6,21.7,27.5,51.6,51.440329218107,74.21124828532236,68.44993141289437
035720.KS,2025-06-18,77.0,80.1,75.0,67.7,37.5,1.6304347826086918,8.514492753623193,8.333333333333325
035720.KS,2025-07-16,35.0,44.0,42.1,39.5,28.7,13.190730837789657,3.3868092691622165,4.812834224598928
105560.KS,2022-09-01,22.0,32.7,36.8,42.5,66.0,-6.387434554973826,9.947643979057585,5.96858638743456
105560.KS,2022-10-04,16.7,28.2,32.5,38.5,63.4,7.158836689038028,10.626398210290834,7.158836689038028
105560.KS,2022-11-02,33.7,42.9,45.7,49.7,66.4,9.603340292275565,20.041753653444676,3.862212943632559
105560.KS,2022-11-30,74.4,77.9,77.6,77.2,75.2,-5.809523809523808,-3.6190476190476217,-7.9999999999999964
105560.KS,2022-12-28,32.6,41.9,45.2,50.0,69.4,16.279069767441868,-3.134479271991908,-4.550050556117292
105560.KS,2023-01-30,51.4,58.1,59.1,60.4,66.0,-12.0,-13.478260869565217,-17.130434782608695
105560.KS,2023-02-27,24.8,35.2,39.2,45.0,68.6,-5.335968379446642,-4.545454545454541,3.1620553359683834
105560.KS,2023-03-28,19.7,30.7,35.7,42.7,71.8,3.862212943632559,-1.4613778705636735,17.327766179540703
105560.KS,2023-04-25,33.4,42.6,46.8,52.7,77.2,-2.914572864321608,-4.221105527638192,11.758793969849249
105560.KS,2023-05-25,26.6,36.7,41.3,47.7,74.2,-2.277432712215321,8.074534161490687,12.00828157349896
105560.KS,2023-06-26,16.8,28.3,34.1,42.3,76.2,0.9533898305084776,19.067796610169484,10.169491525423725
105560.KS,2023-07-24,21.2,32.1,37.0,44.0,72.9,9.548793284365154,16.684155299055604,3.882476390346268
105560.KS,2023-08-22,52.3,58.9,60.7,63.1,73.4,7.662835249042144,3.639846743295028,30.07662835249043
105560.KS,2023-09-19,67.4,71.9,73.1,74.8,81.9,-1.067615658362986,-7.473309608540923,31.316725978647696
105560.KS,2023-10-24,42.2,50.2,53.5,58.2,77.5,-2.6978417266187105,-10.971223021582732,15.107913669064745
105560.KS,2023-11-21,23.4,33.9,38.2,44.2,68.9,-3.881700554528656,25.50831792975969,50.83179297597042
105560.KS,2023-12-19,20.3,31.3,37.0,45.1,78.6,-4.807692307692313,41.92307692307693,51.730769230769226
105560.KS,2024-01-19,16.8,28.3,34.0,42.0,75.1,37.17171717171717,29.292929292929305,69.89898989898991
105560.KS,2024-02-20,58.8,64.5,64.5,64.6,64.8,8.689248895434453,20.176730486008832,24.300441826215025
105560.KS,2024-03-20,55.3,61.5,62.2,63.2,67.5,-13.279132791327909,6.910569105691056,5.826558265582649
105560.KS,2024-04-18,15.8,27.4,32.9,40.7,72.6,27.499999999999996,31.406249999999996,47.50000000000001
105560.KS,2024-05-21,59.9,65.4,64.8,63.9,60.1,-3.308823529411764,3.431372549019618,9.80392156862746
105560.KS,2024-06-19,41.2,49.3,53.2,58.9,82.0,6.590621039290245,-1.0139416983523497,7.731305449936632
105560.KS,2024-07-17,53.1,59.6,61.9,65.3,79.1,0.356718192627814,12.24732461355529,6.896551724137923
105560.KS,2024-08-14,26.9,36.9,40.5,45.5,66.2,-7.464454976303314,6.161137440758302,-2.725118483412325
105560.KS,2024-09-12,22.0,32.8,37.5,44.2,71.9,20.870678617157505,8.834827144686308,3.969270166453276
105560.KS,2024-10-18,56.0,62.0,63.2,65.0,72.0,-5.0847457627118615,-4.766949152542377,-15.254237288135595
105560.KS,2024-11-15,24.2,34.7,38.3,43.4,64.4,-5.133928571428569,-8.37053571428571,6.026785714285721
105560.KS,2024-12-13,18.7,29.9,33.5,38.6,59.6,5.7647058823529385,-4.470588235294115,25.882352941176467
105560.KS,2025-01-15,38.7,47.1,51.7,58.1,84.7,-8.676307007786432,-11.012235817575087,26.362625139043374
105560.KS,2025-02-18,18.9,30.1,34.9,41.8,70.1,-1.0962241169305775,15.712545676004863,39.585870889159565
105560.KS,2025-03-19,26.5,36.7,41.9,49.2,79.6,-1.4778325123152691,31.773399014778317,44.82758620689656
105560.KS,2025-04-16,26.5,36.6,40.0,44.8,64.4,18.75,41.99999999999999,42.50000000000001
105560.KS,2025-05-19,72.1,75.9,77.1,78.8,85.8,12.631578947368416,20.631578947368425,36.31578947368421
105560.KS,2025-06-18,58.5,64.2,64.8,65.6,69.0,6.168224299065428,9.906542056074771,17.850467289719617
105560.KS,2025-07-16,54.4,60.7,61.7,63.2,69.4,0.8802816901408494,0.3521126760563486,13.468309859154925
055550.KS,2022-09-01,23.4,34.0,39.0,46.0,75.0,-1.1461318051575908,9.169054441260748,10.17191977077363
055550.KS,2022-10-04,25.0,35.4,40.0,46.5,73.5,4.347826086956519,4.057971014492745,4.202898550724643
055550.KS,2022-11-02,39.6,47.9,51.6,56.8,78.1,5.833333333333335,24.30555555555556,-0.9722222222222188
055550.KS,2022-11-30,56.7,62.7,65.1,68.6,83.0,-5.774278215223094,0.9186351706036656,-8.13648293963255
055550.KS,2022-12-28,26.8,36.9,42.2,49.6,80.2,24.651810584958223,0.139275766016711,-3.4818941504178302
055550.KS,2023-01-30,58.0,63.8,64.8,66.1,71.9,-14.07821229050279,-20.335195530726256,-25.58659217877095
055550.KS,2023-02-27,27.8,37.8,42.5,49.3,77.0,-6.501950585175553,-8.972691807542265,-9.102730819245776
055550.KS,2023-03-28,20.6,31.6,36.9,44.4,75.2,-0.8344923504867818,-3.616133518776077,3.894297635605004
055550.KS,2023-04-25,25.2,35.6,40.9,48.5,79.9,-1.8232819074333828,-6.591865357643756,-1.8232819074333828
055550.KS,2023-05-25,24.2,34.6,40.2,48.1,80.7,-1.0000000000000009,-0.1428571428571445,5.5714285714285605
055550.KS,2023-06-26,22.0,32.8,39.2,48.3,85.9,-3.8961038961038974,7.792207792207795,10.966810966810955
055550.KS,2023-07-24,17.5,28.9,34.7,42.9,76.6,4.954954954954949,5.105105105105112,10.510510510510509
055550.KS,2023-08-22,36.7,45.4,48.8,53.7,73.8,6.866952789699576,5.722460658082973,23.74821173104436
055550.KS,2023-09-19,61.0,66.4,68.2,70.8,81.4,-6.291834002677376,2.9451137884872747,30.655957161981263
055550.KS,2023-10-24,18.7,29.9,34.9,42.0,71.2,5.5714285714285605,5.142857142857138,19.714285714285708
055550.KS,2023-11-21,44.7,52.3,55.5,60.0,78.4,4.059539918809207,17.050067658998657,32.34100135317996
055550.KS,2023-12-19,56.6,62.6,65.0,68.4,82.4,-4.29128738621587,26.918075422626785,20.546163849154752
055550.KS,2024-01-19,25.6,35.9,40.9,48.0,77.4,17.52717391304348,13.858695652173903,46.19565217391304
055550.KS,2024-02-20,56.2,62.2,62.9,63.9,68.0,12.832369942196545,13.0635838150289,27.16763005780347
055550.KS,2024-03-20,58.8,64.4,65.2,66.3,70.8,-14.139344262295085,-5.020491803278693,10.45081967213115
055550.KS,2024-04-18,11.9,24.1,29.6,37.5,70.1,16.706443914081138,28.400954653937948,34.84486873508352
055550.KS,2024-05-21,50.1,57.0,58.8,61.5,72.2,-5.214723926380371,12.474437627811865,9.81595092024541
055550.KS,2024-06-19,20.3,31.3,37.2,45.5,79.6,16.07335490830637,16.28910463861921,6.796116504854366
055550.KS,2024-07-17,76.0,79.3,78.9,78.3,75.9,2.230483271375472,5.018587360594795,-6.505576208178443
055550.KS,2024-08-14,41.8,49.8,51.7,54.4,65.6,-2.0000000000000018,-2.363636363636368,-11.909090909090914
055550.KS,2024-09-12,34.9,43.9,47.3,52.3,72.6,4.823747680890533,-8.163265306122447,-12.337662337662335
055550.KS,2024-10-18,27.6,37.6,41.7,47.5,71.5,-4.9557522123893865,-10.973451327433626,-15.39823008849558
055550.KS,2024-11-15,16.7,28.2,32.9,39.6,67.1,-7.821229050279332,-9.77653631284916,-2.9795158286778367
055550.KS,2024-12-13,11.1,23.4,28.2,35.0,63.0,1.6161616161616266,-4.545454545454541,19.595959595959588
055550.KS,2025-01-15,36.8,45.5,49.8,56.0,81.1,-3.677932405566597,-4.970178926441349,37.972166998011936
055550.KS,2025-02-18,25.7,35.9,41.8,50.2,84.7,-2.476780185758509,7.533539731682137,43.240454076367385
055550.KS,2025-03-19,20.5,31.5,36.3,43.1,71.1,1.1640211640211673,25.2910052910053,43.49206349206349
055550.KS,2025-04-16,35.6,44.5,47.6,52.1,70.5,8.995815899581583,45.18828451882846,52.92887029288702
055550.KS,2025-05-19,60.0,65.5,68.1,71.7,86.8,13.62763915547025,33.20537428023032,52.783109404990405
055550.KS,2025-06-18,60.7,66.1,66.8,67.7,71.5,17.229729729729737,14.527027027027016,31.25
055550.KS,2025-07-16,59.4,65.0,65.7,66.6,70.6,0.0,5.331412103746391,15.129682997118168
012330.KS,2022-09-01,18.6,29.9,34.9,42.0,71.5,-6.6037735849056585,0.4716981132075526,0.9433962264151052
012330.KS,2022-10-04,19.4,30.5,35.1,41.7,68.8,10.606060606060597,4.545454545454541,7.828282828282829
012330.KS,2022-11-02,44.5,52.2,54.0,56.7,67.6,-2.73972602739726,-5.707762557077622,8.447488584474883
012330.KS,2022-11-30,38.1,46.6,50.5,56.1,79.0,-2.8169014084507005,0.4694835680751241,6.572769953051649
012330.KS,2022-12-28,26.5,36.6,40.9,47.0,72.2,-0.2415458937198078,3.14009661835748,6.763285024154597
012330.KS,2023-01-30,19.4,30.5,34.8,40.8,65.6,3.6319612590798966,15.012106537530268,16.22276029055689
012330.KS,2023-02-27,45.8,53.3,56.5,61.1,80.0,-0.2336448598130869,6.074766355140193,7.476635514018692
012330.KS,2023-03-28,29.8,39.5,43.7,49.6,74.0,11.24121779859484,3.512880562060894,11.007025761124112
012330.KS,2023-04-25,72.5,76.3,76.5,76.9,78.4,-4.421052631578948,1.0526315789473717,-8.421052631578952
012330.KS,2023-05-25,26.9,37.0,41.0,46.7,70.2,-2.643171806167399,1.3215859030837107,1.982378854625555
012330.KS,2023-06-26,19.8,30.9,36.8,45.2,79.9,8.597285067873294,7.239819004524883,1.1312217194570096
012330.KS,2023-07-24,49.8,56.7,58.6,61.2,72.1,-4.166666666666663,-9.375,-16.833333333333332
012330.KS,2023-08-22,17.8,29.2,35.1,43.5,78.0,3.04347826086957,0.6521739130434856,4.347826086956519
012330.KS,2023-09-19,46.6,54.0,58.2,64.2,89.0,-8.227848101265822,-5.696202531645566,6.7510548523206815
012330.KS,2023-10-24,14.0,25.8,31.6,39.7,73.4,6.436781609195408,-8.229885057471265,8.045977011494255
012330.KS,2023-11-21,35.5,44.4,47.9,52.8,73.1,-3.455723542116629,3.6717062634989306,-3.455723542116629
012330.KS,2023-12-19,22.6,33.3,39.3,47.7,82.6,-10.693512304250564,13.19910514541387,8.277404921700215
012330.KS,2024-01-19,12.8,24.8,29.4,35.9,62.5,20.240480961923858,17.73547094188377,14.72945891783568
012330.KS,2024-02-20,46.9,54.2,55.6,57.5,65.5,5.41666666666667,-6.874999999999998,-9.166666666666668
012330.KS,2024-03-20,62.6,67.8,67.8,67.9,68.1,-7.114624505928857,-4.347826086956519,-15.612648221343871
012330.KS,2024-04-18,17.3,28.7,34.0,41.5,72.5,-4.893617021276597,-2.553191489361706,4.042553191489362
012330.KS,2024-05-21,12.4,24.4,30.5,39.2,74.8,8.277404921700215,-2.460850111856827,12.527964205816543
012330.KS,2024-06-19,46.6,53.9,56.4,59.8,73.9,-5.371900826446286,-11.776859504132233,0.8264462809917328
012330.KS,2024-07-17,18.9,30.1,34.4,40.5,65.8,-4.80349344978166,6.768558951965065,10.698689956331876
012330.KS,2024-08-14,18.5,29.7,34.7,41.6,70.4,-2.064220183486243,15.366972477064223,13.761467889908264
012330.KS,2024-09-12,34.4,43.5,47.8,54.0,79.5,14.519906323185005,14.28571428571428,26.463700234192046
012330.KS,2024-10-18,68.7,73.0,73.1,73.1,73.4,2.862985685071573,3.6809815950920255,-2.0449897750511203
012330.KS,2024-11-15,62.2,67.4,69.0,71.3,80.6,-2.982107355864816,-1.391650099403574,-0.7952286282306154
012330.KS,2024-12-13,35.9,44.7,48.3,53.3,74.1,3.893442622950816,10.655737704918034,22.745901639344268
012330.KS,2025-01-15,40.4,48.7,52.0,56.8,76.5,-2.1696252465483234,-5.522682445759363,20.512820512820507
