ticker,date,score_100,score_nonlinear,20거래일(약1개월),60거래일(약3개월),120거래일(약6개월)
035720.KS,2024-02-20,47.3,86.1,-9.880749574105618,-21.7206132879046,-37.3083475298126
035720.KS,2024-03-20,11.3,92.4,-7.183364839319473,-19.092627599243865,-33.175803402646494
035720.KS,2024-04-18,23.5,90.8,-6.41547861507128,-16.08961303462322,-21.588594704684315
035720.KS,2024-05-21,10.7,91.9,-6.855277475516863,-19.91294885745375,-25.897714907508163
035720.KS,2024-06-19,17.9,91.6,-3.738317757009346,-17.40654205607477,7.242990654205617
035720.KS,2024-07-17,16.2,93.0,-10.679611650485432,-6.553398058252425,-10.194174757281548
035720.KS,2024-08-14,7.1,90.4,-3.940217391304346,-7.472826086956519,5.842391304347827
035720.KS,2024-09-12,24.9,90.6,8.910891089108919,29.84441301272984,22.4893917963225
035720.KS,2024-10-18,54.7,85.9,-11.558441558441556,-3.8961038961038974,-1.9480519480519431
035720.KS,2024-11-15,16.2,91.4,34.801762114537446,14.390602055800294,7.048458149779746
035720.KS,2024-12-13,68.4,65.8,-19.389978213507632,-5.664488017429193,20.261437908496728
035720.KS,2025-01-15,12.2,91.6,5.270270270270272,2.027027027027017,51.62162162162163
035720.KS,2025-02-18,15.2,89.7,11.168164313222071,-6.418485237483951,63.02952503209242
035720.KS,2025-03-19,41.4,79.8,-12.8175519630485,27.48267898383372,38.33718244803694
035720.KS,2025-04-16,4.4,89.2,-3.443708609271523,48.6092715231788,53.64238410596028
035720.KS,2025-05-19,4.4,90.3,51.440329218107,74.21124828532236,68.44993141289437
035720.KS,2025-06-18,77.0,59.4,1.6304347826086918,8.514492753623193,8.333333333333325
035720.KS,2025-07-16,35.0,71.3,13.190730837789657,3.3868092691622165,4.812834224598928
105560.KS,2022-09-01,22.0,93.2,-6.387434554973826,9.947643979057585,5.96858638743456
105560.KS,2022-10-04,16.7,93.7,7.158836689038028,10.626398210290834,7.158836689038028
105560.KS,2022-11-02,33.7,94.2,9.603340292275565,20.041753653444676,3.862212943632559
105560.KS,2022-11-30,74.4,72.5,-5.809523809523808,-3.6190476190476217,-7.9999999999999964
105560.KS,2022-12-28,32.6,89.1,16.279069767441868,-3.134479271991908,-4.550050556117292
105560.KS,2023-01-30,51.4,72.8,-12.0,-13.478260869565217,-17.130434782608695
105560.KS,2023-02-27,24.8,91.3,-5.335968379446642,-4.545454545454541,3.1620553359683834
105560.KS,2023-03-28,19.7,94.2,3.862212943632559,-1.4613778705636735,17.327766179540703
105560.KS,2023-04-25,33.4,95.9,-2.914572864321608,-4.221105527638192,11.758793969849249
105560.KS,2023-05-25,26.6,94.7,-2.277432712215321,8.074534161490687,12.00828157349896
105560.KS,2023-06-26,16.8,95.9,0.9533898305084776,19.067796610169484,10.169491525423725
105560.KS,2023-07-24,21.2,95.9,9.548793284365154,16.684155299055604,3.882476390346268
105560.KS,2023-08-22,52.3,83.0,7.662835249042144,3.639846743295028,30.07662835249043
105560.KS,2023-09-19,67.4,71.7,-1.067615658362986,-7.473309608540923,31.316725978647696
105560.KS,2023-10-24,42.2,90.9,-2.6978417266187105,-10.971223021582732,15.107913669064745
105560.KS,2023-11-21,23.4,95.6,-3.881700554528656,25.50831792975969,50.83179297597042
105560.KS,2023-12-19,20.3,96.5,-4.807692307692313,41.92307692307693,51.730769230769226
105560.KS,2024-01-19,16.8,95.6,37.17171717171717,29.292929292929305,69.89898989898991
105560.KS,2024-02-20,58.8,71.0,8.689248895434453,20.176730486008832,24.300441826215025
105560.KS,2024-03-20,55.3,76.1,-13.279132791327909,6.910569105691056,5.826558265582649
105560.KS,2024-04-18,15.8,94.9,27.499999999999996,31.406249999999996,47.50000000000001
105560.KS,2024-05-21,59.9,68.5,-3.308823529411764,3.431372549019618,9.80392156862746
105560.KS,2024-06-19,41.2,91.1,6.590621039290245,-1.0139416983523497,7.731305449936632
105560.KS,2024-07-17,53.1,82.5,0.356718192627814,12.24732461355529,6.896551724137923
105560.KS,2024-08-14,26.9,94.1,-7.464454976303314,6.161137440758302,-2.725118483412325
105560.KS,2024-09-12,22.0,94.9,20.870678617157505,8.834827144686308,3.969270166453276
105560.KS,2024-10-18,56.0,79.3,-5.0847457627118615,-4.766949152542377,-15.254237288135595
105560.KS,2024-11-15,24.2,91.7,-5.133928571428569,-8.37053571428571,6.026785714285721
105560.KS,2024-12-13,18.7,94.1,5.7647058823529385,-4.470588235294115,25.882352941176467
105560.KS,2025-01-15,38.7,95.5,-8.676307007786432,-11.012235817575087,26.362625139043374
105560.KS,2025-02-18,18.9,94.4,-1.0962241169305775,15.712545676004863,39.585870889159565
105560.KS,2025-03-19,26.5,96.3,-1.4778325123152691,31.773399014778317,44.82758620689656
105560.KS,2025-04-16,26.5,94.7,18.75,41.99999999999999,42.50000000000001
105560.KS,2025-05-19,72.1,70.0,12.631578947368416,20.631578947368425,36.31578947368421
105560.KS,2025-06-18,58.5,70.7,6.168224299065428,9.906542056074771,17.850467289719617
105560.KS,2025-07-16,54.4,71.2,0.8802816901408494,0.3521126760563486,13.468309859154925
