ticker,date,score_100,sub_추세,sub_거래량,sub_모멘텀,sub_패턴점수,sub_리스크,20거래일(약1개월),60거래일(약3개월),120거래일(약6개월)
017670.KS,2023-08-22,37.1,99.1,22.4,59.4,23.3,-18.5,7.317073170731714,10.498409331919412,13.891834570519613
017670.KS,2023-09-19,69.8,174.5,58.3,71.7,59.7,-15.3,-1.679841897233203,-1.3833992094861691,4.743083003952564
017670.KS,2023-10-24,29.2,82.3,11.9,52.9,23.0,-23.9,4.723618090452253,-0.6030150753768893,1.9095477386934734
017670.KS,2023-11-21,49.7,103.1,50.5,61.9,48.3,-15.2,-4.222648752399227,3.0710172744721653,-0.38387715930902067
017670.KS,2023-12-19,17.6,41.9,15.8,35.9,15.3,-21.1,-0.9018036072144242,6.212424849699394,2.605210420841675
017670.KS,2024-01-19,21.4,26.5,23.2,46.9,25.3,-14.7,8.594539939332657,2.5278058645096024,6.976744186046502
017670.KS,2024-02-20,63.2,130.0,61.0,66.7,71.7,-13.2,-1.3035381750465591,-3.3519553072625663,2.4208566108007368
017670.KS,2024-03-20,44.7,139.7,28.0,44.9,25.6,-14.9,-4.3396226415094326,-3.396226415094339,10.000000000000009
017670.KS,2024-04-18,19.9,34.9,23.8,39.4,17.9,-16.4,2.3668639053254337,4.339250493096647,10.848126232741627
017670.KS,2024-05-21,30.1,65.8,27.5,46.6,25.7,-15.2,-1.3487475915221592,5.973025048169567,7.707129094412335
017670.KS,2024-06-19,24.2,37.9,32.1,39.6,26.6,-15.2,3.3203125,13.8671875,12.109375
017670.KS,2024-07-17,48.8,80.0,59.3,60.8,57.1,-13.3,3.969754253308122,6.238185255198481,4.347826086956519
017670.KS,2024-08-14,47.6,136.9,23.4,66.5,33.6,-22.6,6.000000000000005,1.6363636363636358,1.8181818181818077
017670.KS,2024-09-12,71.2,165.7,60.0,74.9,67.4,-12.2,-3.6020583190394473,-1.543739279588341,-2.7444253859348233
017670.KS,2024-10-18,30.9,51.3,44.0,43.0,34.8,-18.6,-0.5338078291814985,-1.7793594306049876,2.8469750889679624
017670.KS,2024-11-15,29.2,69.7,20.5,50.7,22.4,-17.5,2.683363148479434,0.17889087656528524,-8.407871198568873
017670.KS,2024-12-13,25.3,53.6,26.5,48.5,18.0,-20.3,-3.83275261324042,-1.2195121951219523,-3.658536585365857
017670.KS,2025-01-15,17.8,24.3,24.7,36.4,21.3,-17.6,1.449275362318847,4.710144927536231,1.26811594202898
017670.KS,2025-02-18,25.4,48.5,20.8,45.5,25.5,-13.1,1.2499999999999956,-8.571428571428575,-0.17857142857142794
017670.KS,2025-03-19,28.8,41.7,35.2,50.7,34.4,-17.8,1.9400352733686121,-2.4691358024691357,-3.1746031746031744
017670.KS,2025-04-16,50.6,51.0,72.5,67.0,74.6,-12.0,-11.418685121107263,-3.287197231833905,-5.709342560553631
017670.KS,2025-05-19,10.7,26.3,24.4,19.9,9.3,-26.3,8.0078125,9.1796875,5.2734375
017670.KS,2025-06-18,38.8,63.0,41.8,58.0,43.5,-12.1,1.0849909584086825,-0.7233273056057921,-2.3508137432188048
017670.KS,2025-07-16,32.8,90.8,24.2,44.7,27.4,-23.3,0.0,-2.5044722719141377,-1.7889087656529523
030200.KS,2022-09-01,29.1,81.4,31.0,37.0,13.2,-17.1,-1.3642564802182844,2.046384720327432,-18.28103683492497
030200.KS,2022-10-04,22.1,24.1,29.4,48.6,23.5,-15.2,-0.13831258644536604,-6.36237897648686,-16.874135546334713
030200.KS,2022-11-02,29.1,45.8,41.5,38.9,30.9,-11.5,3.6011080332410073,-2.4930747922437657,-16.89750692520776
030200.KS,2022-11-30,48.8,123.2,33.7,52.9,39.4,-5.2,-9.491978609625672,-19.919786096256686,-16.310160427807485
030200.KS,2022-12-28,16.7,43.3,19.5,27.0,11.3,-17.8,3.9881831610044216,-11.225997045790248,-10.192023633677994
030200.KS,2023-01-30,18.1,44.2,1.5,47.5,14.2,-16.8,-14.91477272727273,-14.77272727272727,-15.056818181818176
030200.KS,2023-02-27,10.2,14.7,40.7,12.2,10.7,-27.5,0.33388981636059967,4.507512520868118,8.347245409015036
030200.KS,2023-03-28,16.8,17.1,22.2,40.1,23.3,-18.8,-0.16638935108153063,1.1647254575707144,7.321131447587348
030200.KS,2023-04-25,26.3,64.0,20.2,36.4,27.2,-16.2,4.333333333333322,-0.33333333333332993,8.333333333333325
030200.KS,2023-05-25,42.6,104.9,34.5,57.9,26.7,-11.0,-2.8753993610223683,3.6741214057508076,6.230031948881787
