종목명,종목코드,시장,현재가_num,52주최고,고점 / 하락률,PER,PBR,ROE,부채비율,배당수익률,데이터출처
동아엘텍,088130,코스닥,5080.0,14620.0,-65.2530779753762,1.99,0.47,33.57,107.77180653162463,2.952755905511811,🌐 실시간 보완
SK스퀘어,402340,코스피,1048000.0,2189000.0,-52.124257651895846,8.9,3.83,37.82,9.01043844320322,0.0,🌐 실시간 보완
에스코넥,096630,코스닥,1795.0,5500.0,-67.36363636363636,1.47,0.32,49.77,92.55079006772009,0.0,🌐 실시간 보완
동구바이오제약,006620,코스닥,3915.0,6390.0,-38.732394366197184,2.21,0.71,39.12,121.10453648915187,3.065134099616858,🌐 실시간 보완
사람인,143240,코스닥,16400.0,18400.0,-10.869565217391305,2.01,0.65,41.2,22.359550561797754,4.2682926829268295,🌐 실시간 보완
아이티센글로벌,124500,코스닥,23200.0,75500.0,-69.27152317880795,9.4,3.75,45.89,212.50488472059396,0.0,🌐 실시간 보완
대산F&B,065150,코스닥,1543.0,2895.0,-46.70120898100173,2.5,0.95,45.0,53.68852459016394,0.0,🌐 실시간 보완
성호전자,043260,코스닥,16140.0,59600.0,-72.91946308724833,2.76,1.97,46.27,128.77952755905514,0.0,🌐 실시간 보완
아이비김영,339950,코스닥,2840.0,2955.0,-3.8917089678511,5.98,2.11,32.19,70.38081805359661,10.56338028169014,🌐 실시간 보완
DMS,068790,코스닥,8150.0,9190.0,-11.31664853101197,1.5,0.42,35.52,32.517321016166285,3.067484662576687,🌐 실시간 보완
인지소프트,100030,코스닥,16990.0,23700.0,-28.312236286919827,1.87,0.55,35.1,19.424460431654676,6.627427898763978,🌐 실시간 보완
한패스,408470,코스닥,5260.0,47750.0,-88.98429319371728,7.43,0.89,94.2,189.54869358669833,0.0,🌐 실시간 보완
JW신약,067290,코스닥,1921.0,3465.0,-44.55988455988456,10.98,2.5,46.3,42.997542997543,0.0,🌐 실시간 보완
글로벌텍스프리,204620,코스닥,5020.0,7230.0,-30.567081604426004,10.22,2.32,27.81,31.5939957112223,0.0,🌐 실시간 보완
GC메디아이,032620,코스닥,2950.0,4470.0,-34.00447427293065,4.45,1.05,30.72,43.29767149150409,1.694915254237288,🌐 실시간 보완
제룡전기,033100,코스닥,42350.0,93800.0,-54.850746268656714,13.07,2.96,26.93,11.533639782699542,2.5974025974025974,🌐 실시간 보완
한국화장품제조,003350,코스피,8090.0,14120.0,-42.70538243626063,6.18,1.32,30.6,89.96175908221798,0.7416563658838072,🌐 실시간 보완
이지바이오,353810,코스닥,6040.0,8560.0,-29.439252336448597,5.98,1.74,29.06,188.29225352112675,4.13907284768212,🌐 실시간 보완
